latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-27.63781,151.05867,344,3.06,1.66,2023-09-09,0018,T,93,6.1NRT,295.32,237.86,D
-27.64012,151.08948,324.88,3.08,1.67,2023-09-09,0018,T,74,6.1NRT,294.63,101.09,D
-28.7784,147.5894,328.37,1.8,1.31,2023-09-09,0018,T,83,6.1NRT,297.65,49.8,D
-28.78029,147.60768,318.4,1.8,1.32,2023-09-09,0018,T,33,6.1NRT,296.12,26.05,D
-28.77511,147.60165,321.35,1.8,1.32,2023-09-09,0018,T,21,6.1NRT,296.61,31.51,D
-29.98444,153.06491,303.94,4.47,1.94,2023-09-09,0018,T,57,6.1NRT,289.85,48.08,D
-29.98562,153.06012,304.5,4.47,1.94,2023-09-09,0018,T,59,6.1NRT,289.97,49.78,D
-31.18547,146.69296,317.54,1.68,1.28,2023-09-09,0018,T,66,6.1NRT,294.12,29.35,D
-31.19691,146.6915,322.3,1.68,1.28,2023-09-09,0018,T,81,6.1NRT,295.32,39.56,D
-31.55587,146.5309,308.07,1.66,1.27,2023-09-09,0018,T,66,6.1NRT,290.15,13.13,D
-31.55766,146.54843,308.28,1.67,1.27,2023-09-09,0018,T,67,6.1NRT,292.83,13.21,D
-31.56544,146.51193,345.02,1.66,1.27,2023-09-09,0018,T,94,6.1NRT,293.42,106.2,D
-31.56724,146.52936,363.92,1.66,1.27,2023-09-09,0018,T,100,6.1NRT,295.13,200.7,D
-31.56903,146.54686,338.96,1.67,1.27,2023-09-09,0018,T,91,6.1NRT,297.08,84.38,D
-33.30784,145.87665,302.27,1.59,1.24,2023-09-09,0020,T,51,6.1NRT,291.26,9.87,D
-34.51656,146.15536,301.85,1.72,1.29,2023-09-09,0020,T,49,6.1NRT,288.24,9.73,D
-34.826,142.45355,300.86,1.11,1.05,2023-09-09,0020,T,37,6.1NRT,285.47,4.11,D
-5.29153,147.60251,316.94,1.01,1.01,2023-09-09,0009,T,46,6.1NRT,299.53,8.61,D
-5.4671,148.43768,319.45,1.06,1.03,2023-09-09,0009,T,42,6.1NRT,298.08,9.47,D
-9.75423,147.87296,321.49,1.1,1.04,2023-09-09,0011,T,73,6.1NRT,297.98,13.88,D
-9.77864,147.79381,317.06,1.09,1.04,2023-09-09,0011,T,40,6.1NRT,297.62,8.2,D
-9.77997,147.80341,320,1.09,1.04,2023-09-09,0011,T,66,6.1NRT,297.02,11.65,D
